name,popularity,genres,followers,id
Pacific Chorale,17,"{""american choir"", ""contemporary choir""}",173,1dPPkiP4fFCPHEvgQjXmmW
Pacific Symphony Orchestra,4,"{""american orchestra""}",188,1wfNYlaWlnumKQlKPC0VmN
Carl St. Clair,8,"{""""}",100,60dnxEes0YguF32naDTcAv
Stanisław Skrowaczewski,27,"{""""}",872,0VmiaOzhvopQVjmAhjDQTw
Gary Graffman,19,"{""american classical piano""}",715,3zLWEngWeXSzXzvZxQJP0O
John Tavener,37,"{""anglican liturgy"", ""british contemporary classical"", ""minimalism""}",15656,45ff9QmiC1LkmDPk5TBN21
Minnesota Chorale,16,"{""american choir""}",66,393UL0pTGL3DNvPfCSgTk7
Jorja Fleezanis,2,"{""""}",75,0byMrU56ZqEIsjEqlFmsh1
Paul Goodwin,40,"{""baroque"", ""historically informed performance""}",876,4GamZjZFOQyMp7LNx81GwZ
Johann Sebastian Bach,76,"{""baroque"", ""classical"", ""early music"", ""german baroque""}",3770960,5aIqB5nVVvmFsvSdExz408
Virgil Fox,16,"{""""}",1329,3akjbB0gWBVeUSoEzYNJ2O
Erik Satie,66,"{""classical"", ""early avant garde"", ""early modern classical"", ""impressionism"", ""post-romantic era""}",687856,459INk8vcC0ebEef82WjIK
Claude Debussy,68,"{""classical"", ""impressionism"", ""post-romantic era""}",1333940,1Uff91EOsvd99rtAupatMP
Ottorino Respighi,53,"{""classical"", ""impressionism"", ""italian romanticism"", ""neoclassicism"", ""post-romantic era""}",36928,7KkUirCiJZhgRN3NbgG98L
Pure Prairie League,47,"{""album rock"", ""classic rock"", ""country rock"", ""folk"", ""folk rock"", ""heartland rock"", ""mellow gold"", ""roots rock"", ""singer-songwriter"", ""soft rock""}",213243,1MXwwmS2JpmsHZhdMeOL2s
Full Catastrophe Living,0,"{""""}",5,1YQWsUf74fWC9zHvFXIpmB
The Subdudes,33,"{""louisiana blues"", ""swamp rock""}",14457,4T6JNArsi6h8yUgcmLpJJ1
Juan Gabriel,74,"{""cancion melodica"", ""latin pop"", ""mariachi"", ""musica mexicana"", ""ranchera""}",7174478,2MRBDr0crHWE5JwPceFncq
Tied & Tickled Trio,13,"{""german electronica"", ""indie electronica""}",6166,1fPAqwwH74xTD38C3yEEdP
Billy Hart,34,"{""jazz drums""}",2229,5DFipPOMNcZT3XMGx59s5I
Alec Empire,20,"{""cyberpunk"", ""digital hardcore"", ""drill and bass"", ""german techno""}",13190,3YGigudQiWDb5NdJOC5StS
Mauricio Kagel,7,"{""acousmatic"", ""avant-garde"", ""contemporary classical"", ""free improvisation"", ""latin classical""}",3076,0IdJUMh8xVuehu7qlMcDth
Ensemble Musikfabrik,11,"{""modern performance""}",963,780aQbixCS1T0zJcDyZMQC
The Kentucky Headhunters,45,"{""country"", ""country rock"", ""kentucky roots"", ""southern rock""}",193176,2sgj794K3UaW1ApX28ZUhY
Nuckles,2,"{""""}",152,5n7LhYXFfsukyUczxSPole
The Seldom Scene,31,"{""appalachian folk"", ""banjo"", ""bluegrass"", ""bluegrass gospel"", ""mandolin"", ""old-time"", ""progressive bluegrass""}",25380,2oxmEjNo7UXIiZi7X7ovGq
Silverchair,58,"{""alternative metal"", ""alternative rock"", ""australian alternative rock"", ""australian psych"", ""grunge"", ""nu metal"", ""pop rock"", ""post-grunge"", ""rock""}",1087320,4iudEcmuPlYNdbP3e1bdn1
Paul Mac,28,"{""""}",3672,2ZW29i2YE4YDQf6WemPJ4W
Leo Kottke,43,"{""american primitive"", ""country rock"", ""fingerstyle"", ""folk"", ""jam band"", ""progressive bluegrass"", ""roots rock"", ""singer-songwriter""}",49240,6cjuHeJM6CHRUhIhApwFwx
White Willow,4,"{""modern progressive rock"", ""neo-progressive"", ""norwegian prog"", ""symphonic rock""}",4068,62f9LejTohfxGWhMP00ZrS
7 Year Bitch,27,"{""grunge"", ""riot grrrl""}",67202,535KSdsDbNGj6w6eCBkRP5
Bratmobile,36,"{""indie punk"", ""olympia wa indie"", ""queercore"", ""riot grrrl""}",96283,3GTaO7e3uPaG0SJR7Hxy8L
Some Velvet Sidewalk,1,"{""grunge"", ""olympia wa indie""}",677,6pSNQ6SckE2rZ0G1YWMEhW
Courtney Love,39,"{""alternative rock"", ""grunge"", ""riot grrrl""}",189385,4vI0xGbQl2cMnMiagUEBOj
Nation of Ulysses,16,"{""dc indie"", ""post-hardcore""}",8822,5WYp4rSdvV9DuiswVnxheS
Unwound,41,"{""alternative rock"", ""dream pop"", ""emo"", ""experimental"", ""experimental rock"", ""indie punk"", ""indie rock"", ""noise rock"", ""olympia wa indie"", ""post-hardcore"", ""post-punk"", ""sasscore""}",65478,4YjpqCSDD7zwMQgPYJMqb0
Mecca Normal,7,"{""riot grrrl"", ""vancouver indie""}",2510,03SVn7YqKOXJiFspILZiI7
Heavens To Betsy,25,"{""indie punk"", ""olympia wa indie"", ""riot grrrl""}",25824,0nMGtVCtOB828z1CYKDzGZ
Steve Fisk,15,"{""olympia wa indie""}",425,3leAD1YcOv55y1JeKEnlEt
Bikini Kill,46,"{""indie punk"", ""olympia wa indie"", ""riot grrrl""}",387078,0gvHPdYxlU94W7V5MSIlFe
Witchy Poo,1,"{""washington indie""}",415,1F7y9FXmQnSwBFmISPfdTA
Melvins,48,"{""alternative metal"", ""alternative rock"", ""grunge"", ""nu metal"", ""punk"", ""rock"", ""sludge metal"", ""stoner metal""}",326340,6aVjo0xHSiuW5hkasoYSR3
Infamous Menagerie,0,"{""""}",78,4AwmrmKD0KBNM4ysjsbIyH
Kicking Giant,4,"{""gbvfi"", ""olympia wa indie""}",1037,5ohiwnBBOk9opqVr85Yb0U
Fitz of Depression,4,"{""olympia wa indie""}",871,4tN1tEHtQ0LEFUaTOeLir1
Jad Fair,17,"{""experimental rock""}",6014,3xx5PhUhJZ9ADhd7RlC00C
Kreviss,0,"{""""}",89,5tD3e7fDOIC9hYQl3QvxBT
Incubus,67,"{""alternative metal"", ""alternative rock"", ""funk metal"", ""funk rock"", ""nu metal"", ""pop rock"", ""post-grunge"", ""rock""}",2972002,3YcBF2ttyueytpXtEzn1Za
Allman Brothers Band,62,"{""album rock"", ""blues rock"", ""classic rock"", ""country rock"", ""double drumming"", ""folk rock"", ""hard rock"", ""jam band"", ""mellow gold"", ""rock"", ""roots rock"", ""singer-songwriter"", ""soft rock"", ""southern rock""}",1387441,4wQ3PyMz3WwJGI5uEqHUVR
The Charlie Daniels Band,58,"{""classic rock"", ""country"", ""country rock"", ""southern rock""}",675028,12d4iIvTOk7JkI6ecvc3ca
Rebecca Hickman,0,"{""""}",7,61mdsDF6R351gSREUE4Esy
Alan Parsons,39,"{""album rock"", ""art rock"", ""neo-progressive"", ""progressive rock"", ""symphonic rock""}",258750,6HpZkC8GUktP9utE6OPWZG
Black Sabbath,72,"{""album rock"", ""birmingham metal"", ""classic rock"", ""hard rock"", ""metal"", ""rock"", ""stoner rock"", ""uk doom metal""}",6549906,5M52tdBnJaKSvOpJGz8mfZ
Marilyn Manson,69,"{""alternative metal"", ""industrial"", ""industrial metal"", ""industrial rock"", ""nu metal""}",3747133,2VYQTNDsvvKN9wmU5W7xpj
Slipknot,7,"{""""}",10568,720f5YTj7dqvaipB1vIBkk
Papa Roach,70,"{""alternative metal"", ""nu metal"", ""rap metal"", ""rap rock""}",4511780,4RddZ3iHvSpGV4dvATac9X
Linkin Park,82,"{""alternative metal"", ""nu metal"", ""post-grunge"", ""rap metal""}",22103886,6XyY86QOPPrYVGvF9ch6wz
Zakk Wylde's Black Label Society,0,"{""""}",98,1JTc6WNUCREVP3ddDNmjPR
Disturbed,73,"{""alternative metal"", ""nu metal"", ""rap metal""}",5646465,3TOqt5oJwL9BE2NG9MEwDa
Mudvayne,59,"{""alternative metal"", ""groove metal"", ""industrial metal"", ""industrial rock"", ""nu metal"", ""rap metal"", ""rap rock""}",1579477,2Pfv2w8a20xzC7Dr7QXRqM
Drowning Pool,60,"{""alternative metal"", ""industrial metal"", ""nu metal"", ""post-grunge"", ""rap metal"", ""rap rock""}",1710289,1E4r4z7ivGUcSAnCbINJ9v
The Union Underground,43,"{""alternative metal"", ""industrial metal"", ""nu metal"", ""rap rock""}",105573,54akiBa0DkNM3qkhnGRflb
Otep,44,"{""alternative metal"", ""industrial metal"", ""industrial rock"", ""nu metal"", ""rap metal"", ""rap rock"", ""slayer""}",366428,6iswhpc2w6na3lS1vehFXF
Nonpoint,53,"{""alternative metal"", ""industrial metal"", ""latin metal"", ""miami metal"", ""nu metal"", ""rap metal"", ""rap rock""}",424069,6BdSOHfQ6kMg0tbAFlXR1z
Hatebreed,57,"{""alternative metal"", ""connecticut hardcore"", ""hardcore"", ""melodic metalcore"", ""metalcore"", ""nu metal"", ""rap rock""}",528845,17Mb968quDHpjCkIyq30QV
Systematic,14,"{""grunge pop""}",4226,2pVlOoHxePUplhv9w2ZTx9
Pure Rubbish,0,"{""""}",17,5LZFsbXlryJbMXXAX27Hrg
American Head Charge,40,"{""alternative metal"", ""groove metal"", ""industrial metal"", ""nu metal"", ""rap rock""}",113752,6Ig4qybKXgMN2FLSM7GKau
LeAnn Rimes,61,"{""country"", ""country dawn"", ""dance pop"", ""post-teen pop""}",1193619,2d3VHzlOEwXvmBdS4pzOPL
Iggy Azalea,68,"{""australian hip hop"", ""dance pop"", ""hip pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""rap"", ""viral rap""}",6171140,5yG7ZAZafVaAlMTeBybKAL
Alice Chater,44,"{""electropop"", ""uk pop""}",44535,6MwwUAN4kN0umzSH7w6y93
In the Machine,0,"{""""}",13,63OeN5dXyJb5RlQiJ4duWi
Magic Sam,37,"{""acoustic blues"", ""blues"", ""chicago blues"", ""electric blues"", ""soul blues"", ""traditional blues""}",65582,0XErJwG6aCEj7NpKsEZrrO
Witold Lutosławski,23,"{""avant-garde"", ""classical"", ""contemporary classical"", ""early modern classical"", ""polish contemporary classical""}",8629,5Ks8fS8lZJnTFbtvxkDOkM
Axiom Brass,2,"{""brass quintet""}",181,0uWuiXZLND2hyH4fjGnUqS
Victor Ewald,16,"{""russian romanticism""}",229,3PP1semV3yzgLR5h4L9QEy
Cliff Colnot,0,"{""""}",16,0qUa4TMJL5wWRuD6EqQ3Uu
Eric Ewazen,19,"{""concert band""}",1095,5AXqlisvHp5FZLG3OE1qdm
Anders Hillborg,12,"{""contemporary classical"", ""nordic contemporary classical"", ""swedish contemporary classical""}",1064,6FJvb2eSpRIXvmvp1aAw7y
Paquito D'Rivera,37,"{""jazz cubano"", ""latin jazz""}",40638,30Mx3ZadPgGZTcs38FvYP8
Cranes,36,"{""dark wave"", ""dream pop"", ""ethereal wave"", ""gothic rock"", ""nu gaze"", ""shoegaze""}",52954,5q2ehaRqAFmM6tLl4vaVwP
Toad The Wet Sprocket,49,"{""alternative rock"", ""neo mellow"", ""pop rock"", ""rock""}",298741,4j7EVY3kuDwLPfD2jfC7LC
Pete Yorn,45,"{""new jersey indie"", ""pop rock""}",81651,5l2EAkfckNPYZbEDbQtEkO
The Raveonettes,42,"{""danish alternative rock"", ""danish rock"", ""dream pop"", ""modern dream pop""}",137151,3LTXHU3DhiYzGIgF2PP8Q8
The Mooney Suzuki,28,"{""garage rock"", ""punk blues""}",14452,4E5nnaQxGmUQCQeuGrXsql
Flick,3,"{""""}",309,1teuX1qrnlrq9BHjL6PDn4
Stereomud,28,"{""alternative metal"", ""grunge pop"", ""hard alternative"", ""industrial metal"", ""nu metal"", ""rap rock""}",21320,0XyWrKlieKYjGrIkA3Kieq
Memento,8,"{""""}",911,6GUcvnivxguzm9ull4Imc1
Fingertight,20,"{""""}",3800,1rUhls0GXNMqOD8QXkqgFO
The Ataris,50,"{""emo"", ""pop punk"", ""punk"", ""skate punk""}",225099,3LC8PXXgk7YtAIobtjSdNi
Start Trouble,22,"{""""}",1713,2n1VtxlAkbmKYpttMkyPL4
Kenna,23,"{""""}",38,4yurOtgqbRg4CSsHcZt8r9
Crossfade,56,"{""alternative metal"", ""nu metal"", ""post-grunge"", ""rap rock""}",788554,4IR8ZkpbyyKrqsIzchF3NB
Head On,0,"{""grunge pop""}",44,2NgIT83xqoGIM0hZIyotp7
Endo,20,"{""miami metal"", ""nu metal""}",3977,2sQMWvEOpGDW5znSlXwDn5
The Coral,53,"{""britpop"", ""modern rock"", ""pop rock"", ""rock""}",233548,6OiHleP2bHM18dXq4aZQWt
Porch Ghouls,1,"{""""}",307,5bbpDP1kh6m08RpU064Azm
Overseer,40,"{""big beat"", ""breakbeat""}",20588,3V4c44pHzC8apm8HiiFF6V
Seafieldroad,0,"{""""}",38,03jT8XmGSxo1TNg6nYTtXt
Deathbreaker,5,"{""christian hardcore""}",2826,2TlDi85T3NiBxg46RJkiDL
Jeremy Schaeffer,3,"{""""}",19,6OcjRZ3zQwn1XFuGWBjfRc
David & Steve Gordon,37,"{""healing"", ""meditation"", ""native american"", ""new age""}",9279,4yt002Vil1q4Vl9JOx48QG
Blamstrain,13,"{""ambient idm"", ""deep idm"", ""finnish electronic""}",2697,7omHde2HZ8LCWFgOD0EvHw
Organillero,0,"{""""}",25,6X8of8pN3bsoU2W2KlPaCT
Maldita Vecindad Y Los Hijos Del 5to. Patio,57,"{""latin alternative"", ""latin rock"", ""mexican pop"", ""mexican rock"", ""rock en espanol"", ""ska mexicano""}",866063,6WvDtNFHOWHfiNy8NVHujT
Warren Sonny Wahpepah Nima-Wah,1,"{""""}",14,7cYANAYRy7NVHwLcL7M5TL
Evie Ladin Band,1,"{""""}",290,1iLSCtfJXy3IVYzeAkJXDJ
Pietro Locatelli,35,"{""baroque"", ""early music"", ""italian baroque""}",11184,2zcA2rLi9jv1i97HmFWFv4
Capella Istropolitana,57,"{""chamber orchestra"", ""symfonicky orchestr""}",7078,3COykW4UPvB0DqwnzlnfWt
Jaroslav Krcek,40,"{""czech contemporary classical""}",306,3Ani6Kn174IpdoGePSMFbk
Morgan Wallen,83,"{""contemporary country"", ""country""}",4330531,4oUHIQIBe0LHzYfvXNW4QM
Zombie Apocalypse,5,"{""""}",2319,4iYX16iq2gdeSPUUjuYPMH
Pearl Jam,73,"{""alternative rock"", ""grunge"", ""permanent wave"", ""rock""}",7852099,1w5Kfo2jwwIPruYS2UWh56
Sugarcult,51,"{""emo"", ""neon pop punk"", ""pop punk"", ""punk""}",253001,04RtvnUz0XrUbUZzOA8ZoW
The Psychedelic Furs,53,"{""art rock"", ""new romantic"", ""new wave"", ""new wave pop"", ""post-punk"", ""rock""}",491568,0O0lrN34wrcuBenkqlEDZe
Thea K,0,"{""""}",3,4mahx7nXrGCks8TajUanEY
The National Philharmonic Orchestra And Chorus,4,"{""""}",77,7t9ZtppToF86jkNc7AEVEf
The Hit Crew,46,"{""""}",15072,76PJKS3IQsf4sSayx2taE0
Matthew Dear,36,"{""electronica"", ""experimental pop"", ""microhouse"", ""minimal techno""}",60289,2GLf7iaOOujAem5R87xwto
Coffin Lids,0,"{""""}",44,6MspWdWzglO7BylWxTqfRW
Basement Jaxx,53,"{""alternative dance"", ""big beat"", ""dance pop"", ""electronica"", ""filter house"", ""new rave"", ""vocal house""}",478875,4YrKBkKSVeqDamzBPWVnSJ
Les Wampas,38,"{""french punk"", ""french reggae"", ""french rock""}",66634,2nsGWZA0LtO7istBNsyNTE
Boards of Canada,57,"{""ambient"", ""electronica"", ""intelligent dance music"", ""scottish electronic"", ""trip hop""}",536305,2VAvhf61GgLYmC6C8anyX1
Ludwig van Beethoven,71,"{""classical"", ""classical era"", ""early romantic era"", ""german romanticism""}",4570207,2wOqMjp9TyABvtHdOSOTUS
Quartetto Italiano,27,"{""classical performance"", ""quartetto d''archi"", ""string quartet""}",7052,0Sa1iJBa3qhiBZOjjPrXDQ
"Jadox, DJ mr",0,"{""""}",0,7Mrh9cRZW6Ax9Z0BK9X1P2
Jadox,0,"{""""}",30,6FyiuBHb9OFHJg2uLMCZw0
"Jadox, Dave Derrilykt, Dickumz Da Ox",0,"{""""}",0,6MwhY8Iwh2wGkKg9svib5F
"Jadox, Mane Azeem",0,"{""""}",0,0waB2qz2C9n3Rnd1XIfLKo
"Jadox, Nemesis",0,"{""""}",0,4BmNrJqT9RbdfYUp9a5aai
"Jadox, Muenster Emcee",0,"{""""}",0,69KEWmmrXE9IT1S6DaLMxw
Geographic Empire,0,"{""""}",0,5MJj0GxJbIanmGzsHLfGhI
"Jadox, Gully Glue",0,"{""""}",1,3j2xozi4RP0WGPPeOA5zfY
"Jadox, Shawn McQuaid",0,"{""""}",0,2EtLaLzWk3OpYqJ8PbjqP5
"Jadox, Dickumz Da Ox",0,"{""""}",0,2lxDQKoUlZTpHUgv8BiLcH
"Jadox, Fab Deuce, Digo",0,"{""""}",0,2A6vL9zx8ohDNqOlMfpufd
"Jadox, Dave Lara",0,"{""""}",0,47E5mQDp35gtRTgOWLTrFG
"Jadox, Trauma King, Dickumz Da Ox",0,"{""""}",0,4Xub5TKHrtqm09zvgHO6pm
*NSYNC,67,"{""boy band"", ""dance pop"", ""post-teen pop""}",1894308,6Ff53KvcvAj5U7Z1vojB5o
"Lisa ""Left Eye"" Lopes",50,"{""hip pop"", ""urban contemporary""}",20851,64ccradw8gAQn9gMQZmEha
Pop Will Eat Itself,31,"{""c86"", ""grebo"", ""industrial"", ""industrial metal"", ""industrial rock""}",32734,5rIXueJu7zVE2gDZjUM6g8
William Hung,13,"{""outsider"", ""talent show""}",3120,3bU97PoqnxjKD45CrfwmC9
Stay Out,9,"{""""}",372,40kEZMbH9ggiVDx6Va74P5
Tribes Of Neurot,3,"{""drone metal""}",4064,57wr8iXJZ48J11WPsw3Ng0
Scottt Catolico,0,"{""""}",16,1ce5hN4fbJMI6jtMoNO3Wr
Benjamin Britten,48,"{""british modern classical"", ""classical"", ""neoclassicism""}",40671,7MJ1pB5d6Vjmzep2zQlorn
Robert Leonardy,0,"{""""}",9,3iGPkN4UH5LDoykiAzEq5U
Edward Elgar,56,"{""british modern classical"", ""classical"", ""late romantic era"", ""victorian britain""}",150510,430byzy0c5bPn5opiu0SRd
Steve Glotzer,2,"{""blues band""}",136,0hg9JlV44dWQTbEXiCJG6b
